1 0:179.0 1:860.0 2:92.0 3:1340 4:82.28801363552341 5:3.7567026616643355
1 0:272.0 1:1050.0 2:93.0 3:7 4:9.947223094318016 5:0.7124993526379333
1 0:487.0 1:1919.0 2:40.0 3:62 4:22.09944024162457 5:0.20035634893859108
1 0:484.0 1:1919.0 2:42.0 3:66 4:21.88078658137504 5:0.19429740421173006
1 0:726.0 1:1699.0 2:50.0 3:143 4:28.320988056325724 5:1.2880672760241672
1 0:619.0 1:1615.0 2:50.0 3:15 4:16.93864239181959 5:0.6170827658442362
1 0:229.0 1:1539.0 2:59.0 3:65 4:22.31667249928813 5:0.9394988256829817
1 0:129.0 1:1420.0 2:69.0 3:262 4:37.64139748263131 5:1.0901642844659118
1 0:791.0 1:1242.0 2:61.0 3:6 4:13.778761933342976 5:0.4527776638989466
1 0:73.0 1:1119.0 2:63.0 3:52 4:19.611651500319876 5:0.6604230267075937
1 0:687.0 1:1720.0 2:60.0 3:74 4:21.81600786318777 5:0.5292265029682909
1 0:680.0 1:1712.0 2:64.0 3:53 4:20.333004254380157 5:0.4409736327607722
1 0:988.0 1:893.0 2:66.0 3:60 4:26.050208152308198 5:0.47955528922456603
1 0:289.0 1:1403.0 2:67.0 3:74 4:22.994330010577468 5:1.2027004076811394
1 0:307.0 1:1221.0 2:80.0 3:72 4:24.846218155642802 5:2.198313151568017
1 0:775.0 1:1522.0 2:62.0 3:61 4:21.101969585865024 5:1.2609951434082807
1 0:536.0 1:1416.0 2:81.0 3:41 4:19.499806394248452 5:1.128077399917333
1 0:612.0 1:1256.0 2:66.0 3:6 4:9.605613421931453 5:0.4596840999463946
1 0:817.0 1:1298.0 2:59.0 3:77 4:22.39350890076944 5:0.7220613281041017
1 0:332.0 1:1562.0 2:66.0 3:45 4:20.303151024649395 5:0.6108066015201674
1 0:825.0 1:1265.0 2:59.0 3:65 4:19.707630631501416 5:1.1993841040890418
1 0:78.0 1:1425.0 2:63.0 3:12 4:14.268027802311083 5:0.4791551601632584
1 0:56.0 1:1150.0 2:61.0 3:53 4:20.269139107645653 5:0.5299691692378373
1 0:454.0 1:1409.0 2:69.0 3:29 4:17.57374549884445 5:0.3217468452663259
1 0:28.0 1:1394.0 2:53.0 3:45 4:19.779154864385298 5:0.9679637311075817
1 0:751.0 1:1556.0 2:56.0 3:57 4:22.046412345245226 5:0.36796810761566645
1 0:536.0 1:1440.0 2:74.0 3:54 4:21.48917452996552 5:0.7136161157431552
1 0:376.0 1:1136.0 2:61.0 3:48 4:22.231725210045003 5:0.45584793584452077
1 0:727.0 1:1537.0 2:57.0 3:45 4:16.797533367014797 5:0.6712705847585877
1 0:822.0 1:1243.0 2:63.0 3:59 4:21.88838004136479 5:0.5721587149383823
1 0:834.0 1:1606.0 2:57.0 3:89 4:23.999516123069533 5:0.4016205496361791
1 0:316.0 1:1254.0 2:71.0 3:11 4:19.818590284178097 5:0.3086338878441493
1 0:708.0 1:1579.0 2:61.0 3:31 4:17.253278685005828 5:0.32639187934246794
1 0:61.0 1:1132.0 2:59.0 3:40 4:17.143110148416753 5:0.35244966743989015
1 0:205.0 1:1407.0 2:65.0 3:62 4:22.10855167538401 5:0.17067098340171005
