1 0:936.0 1:1364.0 2:96.0 3:47 4:21.944322347497696 5:1.7731013697951101
1 0:130.0 1:1737.0 2:50.0 3:73 4:22.51900535419545 5:1.232644952097296
1 0:152.0 1:1469.0 2:49.0 3:849 4:66.19658994409791 5:1.0265110114571876
1 0:139.0 1:1154.0 2:52.0 3:621 4:57.590772059162994 5:0.9169752707026922
1 0:181.0 1:1144.0 2:53.0 3:17 4:13.872433376709758 5:0.2668635244047542
1 0:121.0 1:1064.0 2:52.0 3:1549 4:89.00369459375175 5:1.35235853480483
1 0:153.0 1:1168.0 2:50.0 3:1449 4:86.16957870420136 5:1.543835221370451
1 0:164.0 1:1180.0 2:50.0 3:768 4:62.31051517756339 5:1.0665308332103118
1 0:151.0 1:1220.0 2:46.0 3:210 4:33.0121449370963 5:0.8521419103857155
1 0:121.0 1:1083.0 2:44.0 3:61 4:22.57812216700194 5:0.5006978905849245
1 0:153.0 1:1150.0 2:45.0 3:124 4:25.676411998954524 5:0.6552394724913082
1 0:139.0 1:1145.0 2:42.0 3:113 4:25.957547177106925 5:0.7644138252865769
1 0:137.0 1:1103.0 2:46.0 3:135 4:28.05128887402959 5:0.5973500051446241
1 0:164.0 1:1197.0 2:44.0 3:159 4:29.864681785123967 5:0.4558069993202395
1 0:163.0 1:1165.0 2:45.0 3:46 4:13.653719000579567 5:0.45233735217175114
1 0:148.0 1:1105.0 2:44.0 3:139 4:29.837220837636096 5:0.8530146566078721
1 0:163.0 1:1137.0 2:43.0 3:92 4:23.997622145894738 5:0.6750378847130877
1 0:160.0 1:1174.0 2:45.0 3:81 4:23.882060126781784 5:0.5828256167273567
1 0:179.0 1:1140.0 2:44.0 3:132 4:28.184116055542663 5:0.45420777660108297
1 0:169.0 1:1139.0 2:43.0 3:112 4:26.190748725174025 5:0.6617100366733308
1 0:178.0 1:1120.0 2:45.0 3:104 4:25.825284789581563 5:0.6047491836074717
1 0:169.0 1:1130.0 2:44.0 3:180 4:33.10126013327341 5:0.6481760936946959
1 0:172.0 1:1122.0 2:45.0 3:158 4:29.37157290338888 5:0.6652027964331154
1 0:172.0 1:1066.0 2:47.0 3:142 4:29.59860373377648 5:1.062584619628349
1 0:178.0 1:1122.0 2:43.0 3:114 4:26.11630146297918 5:0.649102314638268
1 0:147.0 1:1006.0 2:45.0 3:131 4:30.554417260635464 5:0.9532896131598092
1 0:176.0 1:1081.0 2:43.0 3:147 4:29.798883253103654 5:0.8049322011428041
1 0:177.0 1:1055.0 2:43.0 3:152 4:29.661017296538603 5:1.1571039063828286
1 0:187.0 1:1107.0 2:41.0 3:158 4:29.849139891629385 5:0.6602376764331681
1 0:169.0 1:1022.0 2:44.0 3:75 4:24.04013496420873 5:0.7285704546960065
1 0:185.0 1:1113.0 2:38.0 3:125 4:28.25882982175112 5:0.645742062214229
1 0:172.0 1:1027.0 2:43.0 3:151 4:31.884493408939857 5:0.8150242855740932
1 0:185.0 1:1054.0 2:45.0 3:160 4:31.110106351801264 5:0.9721589877459109
1 0:164.0 1:978.0 2:44.0 3:163 4:31.310839277790116 5:1.1706970668390853
1 0:178.0 1:975.0 2:46.0 3:118 4:26.259607536783943 5:2.1932865996327657
1 0:197.0 1:974.0 2:46.0 3:184 4:32.74338818894424 5:1.3005876304528454
1 0:215.0 1:933.0 2:49.0 3:129 4:29.569769413485844 5:1.5486936114660326
1 0:225.0 1:1108.0 2:44.0 3:103 4:26.713642229139378 5:1.8233573509403653
1 0:196.0 1:1010.0 2:50.0 3:176 4:31.173918025154475 5:2.662399422388345
1 0:218.0 1:1119.0 2:47.0 3:183 4:33.102604648092345 5:1.970981111277556
