1 0:957.0 1:1370.0 2:36.0 3:426 4:46.916023614172495 5:1.1896066925268525
1 0:974.0 1:160.0 2:49.0 3:53 4:19.61621352019987 5:0.7339245407693252
1 0:952.0 1:1189.0 2:67.0 3:769 4:62.86779395916267 5:0.8432941063298478
1 0:927.0 1:1350.0 2:70.0 3:2429 4:111.2714801626815 5:10.432512131364707
1 0:819.0 1:1393.0 2:66.0 3:305 4:41.28937016239442 5:0.9526959970707864
1 0:862.0 1:1227.0 2:68.0 3:328 4:42.31505784802633 5:1.3041519460245297
1 0:871.0 1:1156.0 2:71.0 3:484 4:52.84872183989672 5:1.5655383381456494
1 0:971.0 1:880.0 2:71.0 3:280 4:39.49921655110529 5:1.789093235432077
1 0:952.0 1:1403.0 2:64.0 3:628 4:56.18170320992477 5:0.563809760833993
1 0:834.0 1:1264.0 2:62.0 3:163 4:31.509818965551055 5:0.4087396066590799
1 0:898.0 1:977.0 2:65.0 3:279 4:39.2620017515184 5:0.7053131675517482
1 0:871.0 1:1246.0 2:64.0 3:164 4:31.34339030984367 5:0.6631903807859932
1 0:878.0 1:1005.0 2:60.0 3:215 4:35.49299560223357 5:0.6298290347214562
1 0:892.0 1:1275.0 2:66.0 3:159 4:31.41296991603297 5:0.8582176256401534
1 0:888.0 1:1054.0 2:65.0 3:344 4:41.511382372617355 5:0.9399856506148572
1 0:776.0 1:1276.0 2:64.0 3:89 4:23.89851228555314 5:1.6161527363035157
1 0:799.0 1:1239.0 2:61.0 3:125 4:27.774143110101335 5:0.6238043908914201
1 0:807.0 1:1250.0 2:64.0 3:160 4:31.530803830858265 5:0.8284855187465278
1 0:834.0 1:1028.0 2:62.0 3:246 4:36.99483523996585 5:0.9151144658684036
1 0:845.0 1:1093.0 2:62.0 3:308 4:42.00868792478509 5:0.8112741074658487
1 0:842.0 1:1029.0 2:61.0 3:275 4:39.486873376225006 5:1.8794202211416025
1 0:837.0 1:1241.0 2:61.0 3:203 4:35.763634435342105 5:1.88941005369976
